sample,time_s,target_x_m,target_y_m,x_m,y_m,z_m,theta1_deg,theta2_deg,theta3_deg,torque1_nm,torque2_nm,torque3_nm
0,0.0,0.18,0.0,0.17999999999999994,2.7755575615628914e-17,2.7755575615628914e-17,92.64619594174354,-137.3295613219809,14.683365380237323,-0.25908038150050194,0.2421215314113091,0.016534291907156964
1,0.02,0.1814,0.0,0.18140000000000006,2.0816681711721685e-17,-1.3877787807814457e-17,92.04850460955988,-136.7757065691934,14.727201959633524,-0.25620904718310106,0.2440377846393071,0.012879595872163587
2,0.04,0.1828,0.0,0.18279999999999996,-4.163336342344337e-17,0.0,91.45734559421724,-136.2169508684542,14.759605274236929,-0.25204909966880307,0.24698747777947527,0.006880894268435252
3,0.06,0.1842,0.0,0.18420000000000003,-1.3877787807814457e-17,-1.3877787807814457e-17,90.87246882163282,-135.65339066025965,14.780921838626801,-0.24953468530526696,0.24902337256187873,0.0022611634074288546
4,0.08,0.1856,0.0,0.1856,-1.3877787807814457e-17,0.0,90.29363218749165,-135.08511650949944,14.79148432200779,-0.24711864307296172,0.2510235112954123,-0.00222219911186558
5,0.1,0.187,0.0,0.187,-8.326672684688674e-17,0.0,89.72060133932348,-134.51221330877797,14.79161196945447,-0.24479780233988382,0.25299023928631664,-0.006574774593284655
6,0.12,0.18839999999999998,0.0,0.1884,2.7755575615628914e-17,0.0,89.1531494502352,-133.93476047439174,14.781611024156547,-0.24256909683228925,0.25492582130484487,-0.010801961124312217
7,0.14,0.1898,0.0,0.18980000000000005,7.632783294297951e-17,-1.3877787807814457e-17,88.59105698666204,-133.35283213469646,14.761775148034433,-0.24042956533036944,0.2568324450365808,-0.01490897574804913
8,0.16,0.19119999999999998,0.0,0.19119999999999998,0.0,0.0,88.03411147217778,-132.76649731067863,14.732385838500868,-0.23837635174713273,0.25871222456863957,-0.01890085737033461
9,0.18,0.1926,0.0,0.19259999999999994,9.020562075079397e-17,2.0816681711721685e-17,87.48210724911118,-132.1758200886143,14.693712839503156,-0.2364067046872386,0.2605672038881705,-0.022782470273480532
10,0.2,0.194,0.0,0.19399999999999998,3.469446951953614e-17,1.3877787807814457e-17,86.93484523945774,-131.5808597847548,14.646014545297087,-0.23451797657037585,0.2623993603747851,-0.02655850812453439
11,0.22,0.1954,0.0,0.19539999999999996,-5.551115123125783e-17,0.0,86.39213270634822,-130.98167110202766,14.589538395679412,-0.23270762239476273,0.2642106082716371,-0.03023349838036373
12,0.24,0.1968,0.0,0.19680000000000003,-6.938893903907228e-17,-1.3877787807814457e-17,85.85378301713095,-130.37830427877907,14.524521261648104,-0.23097319820633497,0.2660028021229478,-0.033811807004626715
13,0.26,0.1982,0.0,0.19820000000000002,4.163336342344337e-17,0.0,85.31961540894847,-129.77080522961776,14.451189820669326,-0.22931235933116842,0.26777774016880046,-0.03729764342339054
14,0.28,0.1996,0.0,0.1996,-8.326672684688674e-17,6.938893903907228e-18,84.78945475753027,-129.15921567844302,14.369760920912753,-0.22772285842150175,0.2695371676897703,-0.04069506565652148
15,0.3,0.20099999999999998,0.0,0.20099999999999996,-2.7755575615628914e-17,6.938893903907228e-18,84.26313134978864,-128.54357328376142,14.280441933972773,-0.2262025433593649,0.27128278029633196,-0.044007985570811176
16,0.32,0.2024,0.0,0.2024,-5.551115123125783e-17,-1.3877787807814457e-17,83.74048066068055,-127.92391175640962,14.18343109572906,-0.2247493550554022,0.2730162271596464,-0.04724017420903615
